image,n_gt,n_pred,tp,fn,fp,r_area_m2,r_perim_m,r_circularity
21.tif,54,237,38,16,199,0.8683501492127261,0.8918534670144624,0.7099465878456722
25.tif,28,18,18,10,0,0.9046275109650729,0.8250958345350287,0.6367505069364364
27.tif,59,48,41,18,7,0.8665143400926175,0.8136987070927169,0.4201257206979738
33.tif,16,16,10,6,6,0.5305013561793699,0.604683189258001,0.7018303412933866
38.tif,195,259,142,53,117,0.758048069112007,0.822724423749346,0.5048886033875621
39.tif,1316,1030,879,437,151,0.9120646817992378,0.8515565854624169,0.5979360390840052
4.tif,732,927,636,96,291,0.9527797259770533,0.913036978981678,0.7338533053712338
41.tif,177,316,152,25,164,0.8514850005736351,0.8908348487682682,0.6681351364132341
47.tif,0,68,0,0,68,,,
50.tif,0,76,0,0,76,,,
51.tif,0,176,0,0,176,,,
52.tif,33,217,18,15,199,0.6453087994108071,0.39683327854510037,0.2341406305209781
